"Name","Category","Location","Phone Number"
"Црква Св. Димитриј","place_of_worship","","Skopje"
"Sv.Atanasij","place_of_worship","","Chelopek"
"Св. Климент и Пантелејмон","place_of_worship","","Ohrid"
"Јени Џамија","place_of_worship","","Bitola"
"Исак Џамија","place_of_worship","","Bitola"
"Св. Димитриј Солунски","place_of_worship","","Bitola"
"Католичка црква Пресвето срце Исусово","place_of_worship","","Skopje"
"Султан Муратова џамија","place_of_worship","","Skopje"
"Иса-бегова џамија","place_of_worship","","Skopje"
"Алаџа-џамија","place_of_worship","","Skopje"
"Јаја-пашина џамија","place_of_worship","","Skopje"
"Манастир Св. Пантелејмон","place_of_worship","","Gorno Nerezi"
"Црква Св. Ѓорги","place_of_worship","","Nov Dojran"
"Св. Богородица","place_of_worship","","Gjavato"
"Свети Никола","place_of_worship","","Kumanovo"
"Света Троица","place_of_worship","","Kumanovo"
"Sv. Petka-Kuckovo","place_of_worship","","Kuchkovo"
"Sv. Nedela-Kuckovo","place_of_worship","","Kuchkovo"
"Sv. Krstovden-Kuckovo","place_of_worship","","Kuchkovo"
"Татар Синан Бег џамија","place_of_worship","","Kumanovo"
"Св. Кирил и Методиј","place_of_worship","",""
"Мустафа-пашина џамија","place_of_worship","","Skopje"
"Света Богородица - Матка","place_of_worship","","Matka"
"Св. Архангел Михаил","place_of_worship","","Skopje"
"Соборен храм Свети Климент Охридски","place_of_worship","","Skopje"
"Пресв. Богородица","place_of_worship","","Skopje"
"Св. Ѓорѓи","place_of_worship","","Skopje"
"Св. Јован Крстител","place_of_worship","","Skopje"
"Св. Георгиј","place_of_worship","","Skopje"
"Св. Спас","place_of_worship","","Skopje"
"Марков Манастир","place_of_worship","","Markova Sushica"
"Св. Димитрија","place_of_worship","","Markova Sushica"
"Св. Петка","place_of_worship","","Mlado Nagorichane"
"Евагелистичка Методистичка Црква","place_of_worship","","Skopje"
"Манастир „Свети Наум“","place_of_worship","","Lubanishta"
"Свети Илија","place_of_worship","","Skopje"
"Ѓуришки Манастир","place_of_worship","","Krushica"
"Св. Јоаким Осоговски","place_of_worship","",""
"Св. Архангел Михаил","place_of_worship","","Dreveno"
"Манастир Св. Богородица","place_of_worship","","Pobozhje"
"Манастир Св. Никола","place_of_worship","","Brodec"
"Манастир Добра Вода","place_of_worship","","Orizari"
"Манастир Св. Пантелејом","place_of_worship","","Leshki"
"Манастир Раѓање на Пресвета Богородица","place_of_worship","","Manastirec"
"Манастир Св. Петка","place_of_worship","","Kalauzlija"
"Манастир Св. Архангели","place_of_worship","","Pobozhje"
"Манастир Св. Архангели","place_of_worship","","Pobozhje"
"Џамија Ајдар Кади","place_of_worship","","Bitola"
"Св. Софија","place_of_worship","","Ohrid"
"Св. Архангел Михаил","place_of_worship","","Vrutok"
"Св. Спас","place_of_worship","","Alinci"
"Св. Ѓорѓија","place_of_worship","","Deljadrovci"
"Црква „Св. Петар“","place_of_worship","",""
"Црква „Св. Димитриј“","place_of_worship","",""
"Св. Никола","place_of_worship","","Kadino Selo"
"Св. Илија","place_of_worship","","Slavej"
"Св. Троица","place_of_worship","",""
"Св. Димитриј Солунски","place_of_worship","","Oreovec"
"Св. Димитриј Солунски","place_of_worship","","Krivogashtani"
"Св. Теодор Тирон","place_of_worship","","Krivogashtani"
"Пресв. Богородица","place_of_worship","","Krivogashtani"
"Св. Николај","place_of_worship","","Krivogashtani"
"Свети Никола","place_of_worship","",""
"Преображение Христово","place_of_worship","","Mogilec"
"Пресвета Богородица","place_of_worship","","Bitola"
"Св. Недела","place_of_worship","","Bitola"
"Манастир Св. Архангел Михаил","place_of_worship","","Skochivir"
"Св. Илија","place_of_worship","","Strumica"
"Св. Константин и Елена","place_of_worship","","Veselchani"
"Св. Петка","place_of_worship","",""
"Света Богородица","place_of_worship","","Lubanishta"
"Свети Атанасиј","place_of_worship","","Lubanishta"
"Свети Илија","place_of_worship","","Dragosh"
"Остречка Џамија","place_of_worship","","Ostrec"
"Чарши Џамија","place_of_worship","","Prilep"
"Св. Јован Крстител","place_of_worship","","Prisad"
"Св. Петар и Павле","place_of_worship","","Skopje"
"Св. Злата Мегленска","place_of_worship","","Grcec"
"Husein Shah","place_of_worship","","Grcec"
"Св. Спас","place_of_worship","","Orman"
"Св. Јован Крстител","place_of_worship","",""
"Црвка Свети Никола","place_of_worship","",""
"Успение на Пресвета Богородица","place_of_worship","",""
"Манастир Св. Илија","place_of_worship","","Banjane"
"Манастир Св. Христофор","place_of_worship","","Krstoar"
"Св. Еремија","place_of_worship","","Skopje"
"Sulltan Bejazit","place_of_worship","","Kichevo"
"Камена","place_of_worship","","Debreshte"
"Црква Св. Кузман и Дамјан - Триангла","place_of_worship","","Skopje"
"Св. Атанас","place_of_worship","","Matka"
"Св. Јован Канео","place_of_worship","","Ohrid"
"Пештерна Црква ""Св. Богородица"" - Калишта","place_of_worship","","Kalishta"
"Св. Преображение","place_of_worship","","Lokov"
"Св. Никола","place_of_worship","","Pashino Ruvci"
"Шарена Џамија","place_of_worship","","Tetovo"
"ana","place_of_worship","","Gjavato"
"Црква ""Пресвета Богородица""","place_of_worship","","Gostivar"
"Св.Спас","place_of_worship","","Drachevo"
"Црква „Св. Григориј Палама и Димитриј“","place_of_worship","","Strumica"
"Џамија Центар Жировница","place_of_worship","","Zhirovnica"
"Саат Џамија;Bey Mahala","place_of_worship","","Gostivar"
"Dzamija Dolno Maalo","place_of_worship","","Zhirovnica"
"Dzamija Gorno Maalo","place_of_worship","","Zhirovnica"
"Црква ""Свети Ѓорѓија""","place_of_worship","","Zdunje"
"Црква ""Свети Ѓорѓија""","place_of_worship","","Debreshe"
"Xhamia e Kadrit","place_of_worship","","Gostivar"
"Црква ""Свети Никола""","place_of_worship","","Mirdita"
"Црква ""Св. Јован Крстител""","place_of_worship","","Novo Selo"
"Црква ""Св. Никола""","place_of_worship","","Cerovo"
"Црква ""Св. Богородица""","place_of_worship","","Sretkovo"
"Црква Св. Атанасиј","place_of_worship","","Brvenica"
"Црква Свети Никола - Геракомија","place_of_worship","","Ohrid"
"Св. Спас","place_of_worship","","Veles"
"Св. Атанасиј","place_of_worship","","Novoselani"
"Xhamia e Loke","place_of_worship","","Chegrane"
"Xhamia në dalje të Çegranit","place_of_worship","","Chegrane"
"Араста-џамија","place_of_worship","","Skopje"
"Црква „Св. Никола“","place_of_worship","","Tenovo"
"Стара џамија во Теново","place_of_worship","","Tenovo"
"Нова џамија во Теново","place_of_worship","","Tenovo"
"Алипашина џамија","place_of_worship","","Ohrid"
"Света Богородица Болничка","place_of_worship","","Ohrid"
"Света Троица","place_of_worship","","Podvis"
"Св. Атанасиј Велики","place_of_worship","","Godivle"
"Св. Константин и Елена","place_of_worship","","Prilep"
"Св. Архангел Михаил","place_of_worship","","Prilep"
"Св. Богородица","place_of_worship","","Prilep"
"Св. Димитрија","place_of_worship","","Prilep"
"Св. Недела","place_of_worship","","Dolneni"
"Св. Илија","place_of_worship","","Dolneni"
"Св. Георгиј","place_of_worship","","Crnilishte"
"Св. Никола","place_of_worship","","Slepche"
"Св. Петар и Павле","place_of_worship","","Prilep"
"Св. Никола","place_of_worship","","Prilep"
"Св. Петка","place_of_worship","","Lenishta"
"Св. Илија","place_of_worship","","Strovija"
"Св. Недела","place_of_worship","","Strovija"
"Св. Илија","place_of_worship","","Zrze"
"Успение на Пресвета Богородица","place_of_worship","","Zrze"
"Св. Атанасиј","place_of_worship","","Debreshte"
"Св. Троица","place_of_worship","","Ropotovo"
"Еврејска заедница во Република Македонија","place_of_worship","","Skopje"
"Св. Георгиј","place_of_worship","","Slivnica"
"Св. Великомаченик Георгиј","place_of_worship","","Staro Nagorichane"
"Св. Јован Крстител","place_of_worship","","Rostushe"
"Манастир Св. Ѓорѓи","place_of_worship","","Oraovica"
"Црква Св. Кирил и Методиј и Св. Бенедикт","place_of_worship","","Ohrid"
"Св. Константин и Елена","place_of_worship","","Vratnica"
"Чебренски Манастир","place_of_worship","","Rapesh"
"Св. Атанасиј","place_of_worship","","Staravina"
"Св. Јован Крстител","place_of_worship","","Dzvegor"
"Света Троица","place_of_worship","","Bardovci"
"Пресвета Богородица","place_of_worship","",""
"Тулбе","place_of_worship","",""
"Турбе на Иса-бег","place_of_worship","","Skopje"
"Црква Св. Атанасиј","place_of_worship","","Kremenica"
"Kınalı Camii","place_of_worship","","Kremenica"
"Св. Спас","place_of_worship","","Gevgelija"
"Покров на Пресвета Богородица","place_of_worship","","Prilep"
"Рождество на Пресвета Богородица","place_of_worship","","Kadino Selo"
"Св. Атанасиј","place_of_worship","","Galichani"
"Св.Талалеј","place_of_worship","","Arachinovo"
"Св. Јован Крстител","place_of_worship","","Skopje"
"Св. Меркуриј","place_of_worship","","Bareshani"
"Св. Димитриј","place_of_worship","","Bareshani"
"Св. Никола","place_of_worship","","Bistrica"
"Св. Никола","place_of_worship","","Sarandinovo"
"Св. Георгиј","place_of_worship","","Novoselani"
"Св. Богородица","place_of_worship","","Mazhuchishte"
"Св. Троица","place_of_worship","","Golemo Konjari"
